date,min,max,median,q1,q3,stdev,count
2024-07-14T00:00:00.000Z,15.1,36.9,28.1,23.4,32.5,5.233,633
2024-07-15T00:00:00.000Z,13.4,33.8,23.2,21.9,24.4,3.558,665
2024-07-16T00:00:00.000Z,6.0,44.0,18.39,15.2,20.7,7.439,637
2024-07-17T00:00:00.000Z,5.9,33.8,14.6,10.9,20.3,5.607,624
2024-07-18T00:00:00.000Z,6.5,22.8,12.25,10.0,16.8,4.141,614
2024-07-19T00:00:00.000Z,5.3,30.3,15.9,8.44,19.0,5.89,625
2024-07-20T00:00:00.000Z,7.1,23.3,14.0,12.6,17.0,3.532,621
2024-07-21T00:00:00.000Z,0.8,31.5,17.8,12.8,21.2,7.137,630
2024-07-22T00:00:00.000Z,1.4,40.0,10.19,3.6,18.9,10.111,616
2024-07-23T00:00:00.000Z,2.6,29.7,6.3,4.8,8.2,4.764,575
2024-07-24T00:00:00.000Z,2.0,20.9,5.3,3.7,8.6,4.25,607
2024-07-25T00:00:00.000Z,2.9,19.1,8.6,6.9,11.0,3.269,642
2024-07-26T00:00:00.000Z,5.1,32.8,11.3,8.8,18.6,6.298,541
2024-07-27T00:00:00.000Z,3.8,24.3,9.8,7.6,17.5,5.715,466
2024-07-28T00:00:00.000Z,3.6,23.6,10.65,6.0,14.8,4.894,406
2024-07-29T00:00:00.000Z,4.7,21.4,11.45,9.35,14.1,3.377,628
2024-07-30T00:00:00.000Z,0.1,42.1,12.9,11.2,15.3,5.689,589
2024-07-31T00:00:00.000Z,0.2,30.7,7.1,3.0,13.5,7.909,237
